nav_date,close
2003-11-07,117.73
2003-11-10,117.8
2003-11-11,117.84
2003-11-12,117.92
2003-11-13,118.13
2003-11-14,118.38
2003-11-17,118.42
2003-11-18,118.33
2003-11-19,118.24
2003-11-20,118.27
2003-11-21,118.26
2003-11-24,118.36
2003-11-25,118.36
2003-11-26,118.33
2003-11-27,118.37
2003-11-28,118.39
2003-12-01,118.4
2003-12-02,118.39
2003-12-03,118.41
2003-12-04,118.49
2003-12-05,118.66
2003-12-08,118.76
2003-12-09,118.88
2003-12-10,118.95
2003-12-11,118.92
2003-12-12,119.43
2003-12-15,119.34
2003-12-16,119.35
2003-12-17,119.53
2003-12-18,119.67
2003-12-19,119.63
2003-12-22,119.5
2003-12-23,119.61
2003-12-24,119.29
2003-12-29,119.33
2003-12-30,119.34
2003-12-31,119.38
2004-01-02,119.36
2004-01-05,119.62
2004-01-06,120.07
2004-01-07,120.26
2004-01-08,120.4
2004-01-09,120.69
2004-01-12,121.04
2004-01-13,121.21
2004-01-14,121.31
2004-01-15,121.9
2004-01-16,122.03
2004-01-19,122.04
2004-01-20,122.24
2004-01-21,122.46
2004-01-22,122.37
2004-01-23,122.35
2004-01-26,122.25
2004-01-27,122.22
2004-01-28,122.18
2004-01-29,122.17
2004-01-30,122.38
2004-02-02,122.19
2004-02-03,122.11
2004-02-04,121.98
2004-02-05,122.14
2004-02-06,121.91
2004-02-09,122.17
2004-02-10,122.28
2004-02-11,122.36
2004-02-12,122.54
2004-02-13,122.61
2004-02-16,122.79
