date,open,close,high,low,volume
2016/3/3,2693.679,2693.416,2761.462,2691.253,6457515.9
2016/3/4,2667.802,2556.316,2702.5,2517.393,6843891
2016/3/7,2584.538,2641.492,2669.97,2584.333,4948921.3
2016/3/8,2630.279,2681.643,2681.748,2495.946,5920339
2016/3/9,2608.91,2619.746,2667.25,2584.94,4494513.6
2016/3/10,2626.637,2581.733,2651.397,2575.21,4088049.3
2016/3/11,2525.761,2596.565,2601.02,2522.049,4186115.3
2016/3/14,2634.393,2715.192,2748.133,2632.815,7278312.7
2016/3/15,2696.674,2685.053,2727.41,2670.826,5919706.4
2016/3/16,2718.504,2640.75,2725.92,2619.538,5033047.6
2016/3/17,2652.499,2774.027,2776.129,2652.499,6771306.4
2016/3/18,2782.292,2901.972,2911.313,2776.235,9683566.5
2016/3/21,2945.324,2988.084,2988.084,2924.359,9565745.5
2016/3/22,2961.378,2979.73,3020.892,2943.629,7743918.3
2016/3/23,2957.534,3028.622,3028.622,2953.277,7062366.4
2016/3/24,2998.033,2960.236,3041.887,2959.509,7086596.4
2016/3/25,2956.732,2999.074,3007.481,2944.724,7438885.1
2016/3/28,3017.742,2955.407,3051.558,2942.032,7151340.9
2016/3/29,2955.939,2885.778,2962.264,2853.15,6946059.8
2016/3/30,2915.79,3036.646,3036.704,2915.79,7211630.4
2016/3/31,3059.664,3065.19,3111.469,3050.129,7955113.9
2016/4/1,3047.351,3049.496,3060.96,2980.162,7202496.9
2016/4/5,3053.277,3163.913,3171.293,3051.021,9086465.3
2016/4/6,3151.455,3195.354,3197.464,3141.436,8797581.3
2016/4/7,3204.341,3122.26,3209.999,3120.796,8406738.4
2016/4/8,3089.476,3106.128,3107.039,3046.74,7379643.6
2016/4/11,3132.055,3183.528,3202.988,3132.055,7458851.1
2016/4/12,3168.473,3135.908,3175.039,3089.548,6105879.3
2016/4/13,3152.678,3188.434,3237.302,3152.61,8231171.4
2016/4/14,3206.037,3253.93,3255.258,3194.412,6372053.2
2016/4/15,3251.896,3262.336,3267.285,3228.78,6716261
2016/4/18,3237.834,3203.206,3237.834,3176.564,6608967.8
2016/4/19,3217.153,3231.034,3238.108,3189.259,5796611.3
2016/4/20,3240.189,3013.545,3242.814,2957.002,9267708.6
2016/4/21,2993.831,2954.593,3043.304,2948.817,5787676.6
2016/4/22,2930.341,3004.452,3004.452,2917.537,4838282.8
2016/4/25,2989.299,2980.225,2994.288,2932.984,4692549.4
2016/4/26,2978.569,3041.985,3041.985,2976.093,5049998.8
2016/4/27,3043.538,3030.27,3072.081,3022.439,5389236.2
2016/4/28,3025.988,3041.617,3044.648,2954.965,5363906.3
2016/4/29,3016.811,3034.211,3055.37,3012.788,3099200.8
2016/5/3,3031.716,3157.774,3157.968,3013.746,5404004.7
2016/5/4,3141.393,3185.076,3218.101,3134.946,6876358.8
2016/5/5,3186.53,3220.974,3222.103,3173.928,7478267.7
2016/5/6,3226.772,3076.373,3241.67,3076.373,9035157.3
2016/5/9,3045.8,2944.755,3045.8,2921.552,6683429.7
2016/5/10,2935.415,2948.378,2970.267,2918.242,5014686.6
2016/5/11,2963.841,2879.996,2973.606,2879.325,4664676.6
2016/5/12,2831.158,2884.669,2884.721,2757.581,5646494.8
2016/5/13,2865.507,2878.544,2910.066,2855.856,4824247.8
2016/5/16,2858.413,2964.636,2964.639,2847.254,6257250.8
2016/5/17,2963.151,2959.748,3001.179,2937.131,6956175.1
2016/5/18,2930.855,2832.074,2930.855,2787.223,5779441.7
2016/5/19,2831.664,2883.017,2935.048,2830.295,5835346.8
2016/5/20,2861.138,2965.395,2965.395,2828.739,6607051
2016/5/23,2976.34,3039.347,3047.136,2976.34,6884178.8
2016/5/24,3028.753,2996.205,3028.753,2969.263,6740420.9
2016/5/25,3011.143,3005.704,3054.144,2981.644,6049989
2016/5/26,2999.498,3037.336,3037.336,2902.732,6375059.2
